Song Title	Artist Name	Genre(s)
Woh Lamhe	Atif Aslam	Pop/Rock
Aadat	Atif Aslam	Pop/Rock
Bheegi Yaadein	Atif Aslam	Pop/Rock
Doorie	Atif Aslam	Pop/Rock
Ehsaas	Atif Aslam	Pop/Rock
Tere Bin	Atif Aslam	Pop/Rock
Kuch Is Tarah	Atif Aslam	Pop/Rock
Pehli Nazar Mein	Atif Aslam	Romantic/Bollywood
Mera Dil	Atif Aslam	Romantic/Bollywood
Tu Jaane Na	Atif Aslam	Romantic/Bollywood
Be Intehaan	Atif Aslam	Romantic/Bollywood
Maeri	Atif Aslam	Pop/Rock
Kinara	Atif Aslam	Pop/Rock
Hum Kis Gali Jaa Rahe Hain	Atif Aslam	Pop/Rock
Musafir	Atif Aslam	Pop/Rock
Manwa Laage	Atif Aslam	Romantic/Bollywood
Jeena Jeena	Atif Aslam	Romantic/Bollywood
Teri Meri Kahani	Atif Aslam	Romantic/Bollywood
Dil Diyan Gallan	Atif Aslam	Romantic/Bollywood
Dekhte Dekhte	Atif Aslam	Romantic/Bollywood
Paniyon Sa	Atif Aslam	Romantic/Bollywood
Phir Se	Atif Aslam	Pop/Rock
Aasman	Atif Aslam	Pop/Rock
Hona Tha Pyar	Atif Aslam	Romantic/Bollywood
Rabba	Atif Aslam	Sad/Melody
O Re Piya	Atif Aslam	Sufi/Bollywood
Tere Liye	Atif Aslam	Romantic/Bollywood
Khairiyat	Atif Aslam	Romantic/Bollywood
Atif Aslam Mashup	Atif Aslam	Various (Mix of genres)
Ranjha	Atif Aslam	Sufi/Folk
12 Bajay	Atif Aslam	Pop/Rock
Maa	Atif Aslam	Melodic
Chalak Chalak	Atif Aslam	Romantic/Bollywood
Kadi Te Hans Bol	Atif Aslam	Punjabi Folk/Pop
Tere Sang Yaara	Atif Aslam	Romantic/Bollywood
Bol Ke Lub Azad Hain Tere	Atif Aslam	Patriotic/Melodic
Darasal	Atif Aslam	Romantic/Bollywood
Dooriyan	Atif Aslam	Pop/Rock
Rafta Rafta	Atif Aslam	Pop/Rock
O Mere Khuda	Atif Aslam	Devotional/Melodic
Janam Janam	Atif Aslam	Romantic/Bollywood
Main Rang Sharbaton Ka	Atif Aslam	Romantic/Bollywood
Musafir Hoon Yaaron	Atif Aslam	Melodic/Travel
Zindagi Aa Raha Hoon Main	Atif Aslam	Inspirational/Bollywood
Kya Hua Tera Wada	Atif Aslam	Melodic/Remake
Woh Ajnabi	Atif Aslam	Pop/Rock
Aadat (Kalyug)	Atif Aslam	Pop/Rock
Bakhuda Tumhi Ho	Atif Aslam	Romantic/Bollywood
Pehli Dafa	Atif Aslam	Romantic/Pop
Kuch To Hua Hai	Atif Aslam	Romantic/Bollywood
Tum Hi Ho	Arijit Singh	Bollywood Romantic
Kabira	Arijit Singh	Bollywood Sufi/Melody
Ilahi	Arijit Singh	Bollywood Inspirational
Mast Magan	Arijit Singh	Bollywood Romantic
Muskurane Ki Wajah Tum Ho	Arijit Singh	Bollywood Romantic
Suno Na Sangemarmar	Arijit Singh	Bollywood Romantic
Hamari Adhuri Kahani (Title)	Arijit Singh	Bollywood Romantic
Gerua	Arijit Singh	Bollywood Romantic
Zaalima	Arijit Singh	Bollywood Romantic
Ae Dil Hai Mushkil (Title)	Arijit Singh	Bollywood Romantic
Hawayein	Arijit Singh	Bollywood Romantic
Phir Bhi Tumko Chahunga	Arijit Singh	Bollywood Romantic
Tera Yaar Hoon Main	Arijit Singh	Bollywood Friendship/Melody
Kalank (Title Track)	Arijit Singh	Bollywood Classical/Melody
Khairiyat	Arijit Singh	Bollywood Sad/Melody
Tujhe Kitna Chahne Lage Hum	Arijit Singh	Bollywood Romantic
Aashiqui Aa Gayi	Arijit Singh	Bollywood Romantic
Kesariya	Arijit Singh	Bollywood Romantic
Satranga	Arijit Singh	Bollywood Romantic
Jhoome Jo Pathaan	Arijit Singh	Bollywood Action/Dance
Apna Bana Le	Arijit Singh	Bollywood Romantic
Pyaar Hota Kayi Baar Hai	Arijit Singh	Bollywood Romantic/Comedy
Chaleya	Arijit Singh	Bollywood Romantic
Ve Maahi	Arijit Singh	Bollywood Romantic
Manwa Laage	Arijit Singh	Bollywood Romantic
Senti Wali Mental	Arijit Singh	Bollywood Comedy/Dance
Shaayad	Arijit Singh	Bollywood Romantic
First Class	Arijit Singh	Bollywood Dance/Party
Dua	Arijit Singh	Bollywood Devotional/Melody
I Love You	Arijit Singh	Bollywood Romantic
Dhokha	Arijit Singh	Bollywood Sad/Melody
Tere Pyaar Mein	Arijit Singh	Bollywood Romantic
O Bedardeya	Arijit Singh	Bollywood Sad/Melody
Itni Si Baat Hain	Arijit Singh	Bollywood Romantic
Agar Tum Saath Ho	Arijit Singh	Bollywood Romantic
Sooraj Dooba Hai	Arijit Singh	Bollywood Party/Dance
Ik Mulaqat	Arijit Singh	Bollywood Romantic
Main Tera Hero	Arijit Singh	Bollywood Comedy/Romantic
Raabta	Arijit Singh	Bollywood Romantic
Channa Mereya	Arijit Singh	Bollywood Sad/Melody
The Breakup Song	Arijit Singh	Bollywood Party/Comedy
Hawayein (Reprise)	Arijit Singh	Bollywood Romantic
Zaalima (Reprise)	Arijit Singh	Bollywood Romantic
Dil Dhadakne Do	Arijit Singh	Bollywood Melodic/Upbeat
Gulabi Aankhen	Arijit Singh	Bollywood Romantic/Retro
Musafir	Arijit Singh	Bollywood Sad/Melody
Tu Hai Meri Aashiqui	Arijit Singh	Bollywood Romantic
Phir Se Ud Chala	Arijit Singh	Bollywood Inspirational/Melody
Kabhi Jo Badal Barse	Arijit Singh	Bollywood Romantic/Rain Song
Mast Nazron Se	Arijit Singh	Bollywood Romantic
Teri Meri	Rahat Fateh Ali Khan	Bollywood Romantic
O Re Piya	Rahat Fateh Ali Khan	Bollywood Romentic
Jag Ghumeya	Rahat Fateh Ali Khan	Bollywood Romantic, Punjabi
Ishtyle	Rahat Fateh Ali Khan	Bollywood, Pop
Sajna	Rahat Fateh Ali Khan	Bollywood Romantic
Naina Re	Rahat Fateh Ali Khan	Bollywood Romantic
Dil To Hai	Rahat Fateh Ali Khan	Bollywood Sad/Melody
Jiya Dhadak Dhadak Jaye	Rahat Fateh Ali Khan	Bollywood Romantic
Mann Ki Lagan	Rahat Fateh Ali Khan	Bollywood, Sufi
Bol Do Na Zara	Rahat Fateh Ali Khan	Bollywood Romantic
Afreen Afreen (Reprise)	Rahat Fateh Ali Khan	Bollywood, Qawwali, Sufi
Rabba Ishq Hai	Rahat Fateh Ali Khan	Bollywood, Sufi
Main Tenu Samjhawan Ki	Rahat Fateh Ali Khan	Bollywood, Punjabi, Folk
Mere Rashke Qamar	Rahat Fateh Ali Khan	Bollywood, Qawwali, Romantic
